CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
SEGU5317888,SEASPAN ADONIS,Axiom,"Cat Lai, Tinh GJong Nai, Vietnam","Cai Mep International Terminal, , Vietnam","Los Angeles, California, United States","Los Angeles, California, United States",24/6/21,1/7/21,27/7/21,5/8/21,9/8/21,28/8/21,Yes,1/9/21
NYKU3801548,YM TRAVEL,JAS,"Dallas, Texas, United States","Los Angeles, California, United States","Qingdao, Shandong Sheng, China","Qingdao, Shandong Sheng, China",19/8/21,21/9/21,8/10/21,2/8/21,25/10/21,24/8/21,Yes,9/8/21
OOLU9399460,,Axiom,"Dallas, Texas, United States","Long Beach, California, United States","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Tan Thanh, Tinh Ba Ria-Vung Tau, Vietnam",26/7/21,26/7/21,12/8/21,,29/8/21,12/7/21,Yes,30/6/21
TCLU8116588,SEASPAN ADONIS,JAS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",24/6/21,30/6/21,14/8/21,18/8/21,20/8/21,24/8/21,Yes,26/8/21
CSNU6125371,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",23/5/21,2/6/21,18/6/21,7/7/21,11/7/21,13/7/21,Yes,14/7/21
ONEU0084409,SEASPAN ADONIS,Axiom,"Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",23/6/21,2/7/21,31/7/21,19/8/21,23/8/21,24/8/21,Yes,20/8/21
OOCU7031827,COSCO ITALY,Axiom,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",17/6/21,5/7/21,26/7/21,3/8/21,7/8/21,7/8/21,Yes,9/8/21
TCNU3333253,,YUE SHENG,"Houston, Texas, United States",,,,3/9/21,3/9/21,,,,14/9/21,,
CCLU7267747,COSCO TAICANG,everest,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Long Beach, California, United States",27/6/21,30/6/21,5/8/21,11/8/21,15/8/21,6/9/21,Yes,12/8/21
INKU6163861,MAERSK ERIE,NINGBO YUE SHENG INTERNATIONAL,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",2/8/21,11/8/21,13/9/21,1/1/00,21/9/21,17/9/21,Yes,22/9/21
MSMU8460307,MSC FLAVIA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",23/6/21,23/6/21,24/7/21,29/7/21,2/8/21,3/8/21,Yes,9/8/21
BEAU5500243,SEASPAN ADONIS,JAS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",19/6/21,2/7/21,27/7/21,13/8/21,13/8/21,24/8/21,Yes,19/8/21
OOCU9065657,OOCL TOKYO,Axiom,,,,,,,,,,,Yes,6/7/21
HPCU4153852,,2nd charter,,,,,,,,,,,Yes,
CAAU6156875,,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",21/4/21,21/4/21,6/5/21,,23/5/21,8/7/21,Yes,3/6/21
FSCU8268262,,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Long Beach, California, United States",4/8/21,4/8/21,26/8/21,,12/9/21,17/9/21,Yes,14/9/21
XHCU5064889,,1st Charter,,,,,,,,,15/11/21,,Yes,15/11/21
TCKU3282151,LI DA TONG 2 HAO,JAS,"Fuzhou, Fujian Sheng, China","Fuzhou, Fujian Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",7/6/21,13/6/21,5/8/21,11/8/21,12/8/21,24/8/21,Yes,17/8/21
TEMU6011414,CMA CGM LEO,,"Los Angeles, California, United States","Los Angeles, California, United States","Batu Ampar, Daerah Khusus Ibukota Jakarta, Indonesia",,25/5/21,25/5/21,8/7/21,,25/7/21,8/7/21,,
EMCU9788734,ONE MISSION,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",14/7/21,14/7/21,,16/9/21,20/9/21,18/9/21,Yes,1/9/21
TGBU5244134,CMA CGM CHAMPS ELYSEES,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Rotterdam, Provincie Zuid-Holland, Netherlands","Rotterdam, Provincie Zuid-Holland, Netherlands",1/8/21,9/8/21,8/9/21,11/9/21,25/9/21,21/8/21,Yes,24/5/21
HPCU4152347,,2nd charter,,,,,,,,,,,Yes,22/12/21
HPCU4151715,,2nd charter,,,,,,,,,,,Yes,
CICU2532605,,Yihuida,,,,,,,,,,,,
MRKU6133028,,YIHUIDA,,,,,,,,,,,,
MEDU8368809,MSC FLAVIA,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",23/6/21,24/6/21,25/7/21,29/7/21,2/8/21,3/8/21,Yes,5/8/21
GLDU0897044,,LF,"Thuan An, Tinh Quang Nam, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam",,"Dallas, Texas, United States",9/7/21,10/7/21,,23/8/21,27/8/21,19/8/21,,
MSMU7969286,MSC KATIE,CIF,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",8/6/21,12/6/21,16/8/21,14/8/21,2/9/21,24/8/21,Yes,19/8/21
TCKU6224631,CMA CGM G.WASHINGTON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",16/6/21,19/6/21,8/8/21,17/8/21,17/8/21,24/8/21,Yes,17/8/21
