CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
OOLU9564760,COSCO ENGLAND,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",4/12/21,12/12/21,13/1/22,23/1/22,25/1/22,22/1/22,Yes,25/1/22
OOLU9711795,COSCO SHIPPING DENALI,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",6/12/21,10/12/21,4/1/22,14/1/22,17/1/22,14/1/22,Yes,20/1/22
OOLU9302170,COSCO NETHERLANDS,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",30/11/21,3/12/21,2/1/22,8/1/22,10/1/22,7/1/22,,
CCLU6859675,COSCO SHIPPING ANDES,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",19/11/21,23/11/21,9/12/21,14/12/21,15/12/21,14/12/21,Yes,16/12/21
TGBU7154560,ONE MISSION,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",22/12/21,22/12/21,30/1/22,1/1/00,2/2/22,31/1/22,Yes,8/2/22
APHU6746903,CMA CGM MARCO POLO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",21/11/21,2/12/21,18/1/22,24/1/22,24/1/22,22/1/22,Yes,
HASU4730404,GSL KITHIRA,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Fort Worth, Texas, United States","Fort Worth, Texas, United States",28/10/21,30/10/21,12/12/21,16/12/21,16/12/21,14/12/21,Yes,17/12/21
TCNU6771588,CMA CGM T.JEFFERSON,JAS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",14/12/21,23/12/21,8/2/22,20/2/22,24/2/22,16/2/22,,
TGBU8808599,,NINGBO YUE SHENG INTERNATIONAL,,,,,,,,,13/12/21,,Yes,17/12/21
XHCU5229356,,2nd Charter,,,,,,,,,22/12/21,,Yes,22/12/21
CCLU7955816,COSCO SHIPPING ANDES,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",10/11/21,14/11/21,12/12/21,21/12/21,23/12/21,22/12/21,Yes,29/12/21
OOLU9245531,,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",20/8/21,20/8/21,7/9/21,18/9/21,20/9/21,17/9/21,Yes,1/10/21
TCLU2666484,HR RHEA,JAS,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",14/12/21,18/12/21,16/3/22,,2/4/22,16/2/22,,
OOCU7219938,COSCO ITALY,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",13/12/21,16/12/21,9/1/22,14/1/22,17/1/22,14/1/22,Yes,19/1/22
FFAU3636452,ONE MAXIM,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",11/12/21,16/12/21,23/1/22,1/1/00,27/1/22,26/1/22,Yes,28/1/22
OOLU6928513,OOCL UTAH,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",7/11/21,23/11/21,15/12/21,25/12/21,27/12/21,22/12/21,Yes,6/1/22
TCNU2651840,EDISON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",31/12/21,5/1/22,22/2/22,26/2/22,2/3/22,16/2/22,,
EGHU8400270,XIN WEI HAI,Yuesheng,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",30/12/21,30/12/21,,3/2/22,9/2/22,8/2/22,Yes,9/2/22
CCLU7376244,COSCO NETHERLANDS,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",22/11/21,28/11/21,3/1/22,9/1/22,10/1/22,10/1/22,Yes,12/1/22
TCLU9674542,ONE MISSION,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",15/12/21,22/12/21,2/2/22,1/1/00,8/2/22,4/2/22,,
INKU6451111,CMA CGM J.MADISON,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",9/11/21,15/11/21,6/1/22,30/1/22,31/1/22,31/1/22,Yes,1/2/22
CSLU6274399,OOCL LONDON,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",14/11/21,29/11/21,27/12/21,2/1/22,7/1/22,5/1/22,Yes,10/1/22
OOCU6419504,OOCL UTAH,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",16/11/21,23/11/21,17/12/21,26/12/21,28/12/21,22/12/21,Yes,4/1/22
FBLU0187260,CSCL EAST CHINA SEA,ARRTIME,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",8/12/21,12/12/21,8/2/22,22/2/22,26/2/22,16/2/22,,
CWWU9215031,MSC ARIES,YIHUIDA,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",24/10/21,24/10/21,29/12/21,2/1/22,6/1/22,3/1/22,Yes,10/1/22
DFSU7073722,OOCL LONDON,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",18/7/21,4/8/21,10/9/21,18/9/21,22/9/21,17/9/21,Yes,21/9/21
CICU2173260,,2nd charter,,,,,,,,,,,Yes,5/1/22
HPCU4151274,,2nd charter,,,,,,,,,,,Yes,23/12/21
XHCU5229464,,2nd Charter,,,,,,,,,23/12/21,,Yes,23/12/21
TGSU5013655,APL COLUMBUS,Yihuida,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",14/12/21,14/12/21,17/2/22,28/2/22,28/2/22,16/2/22,,
OOLU9840175,COSCO SHIPPING DENALI,Yuesheng,"Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China","Long Beach, California, United States","Elwood, Illinois, United States",13/6/21,3/7/21,21/7/21,22/2/22,26/2/22,16/2/22,,
TCNU4997555,EVER LOYAL,Evergreen,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",30/1/22,30/1/22,20/2/22,23/2/22,9/3/22,18/2/22,,
ONEU0084374,ONE MAXIM,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",11/12/21,16/12/21,23/1/22,1/1/00,28/1/22,26/1/22,Yes,31/1/22
BMOU4141360,HYUNDAI HONGKONG,UPS,"Nagoya, Aichi-ken, Japan","Nagoya, Aichi-ken, Japan","Tacoma, Washington, United States","Tacoma, Washington, United States",19/11/21,22/11/21,11/2/22,15/1/22,28/2/22,16/2/22,,
FSCU8749484,COSCO SHIPPING ANDES,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",9/11/21,14/11/21,11/12/21,20/12/21,21/12/21,18/12/21,Yes,21/12/21
MOTU0763711,ONE MOTIVATOR,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",4/12/21,8/12/21,18/1/22,1/1/00,20/1/22,18/1/22,Yes,20/1/22
TGBU9200880,COSCO NETHERLANDS,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",30/11/21,3/12/21,29/12/21,5/1/22,7/1/22,5/1/22,,
TEMU6454984,CMA CGM CHILE,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",6/12/21,13/12/21,31/1/22,5/2/22,8/2/22,4/2/22,Yes,10/2/22
TCNU5443028,CSCL EAST CHINA SEA,ARRTIME,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",7/12/21,11/12/21,8/2/22,22/2/22,26/2/22,16/2/22,,
TLLU4176381,APL DANUBE,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",11/1/22,11/1/22,,1/1/00,5/1/00,16/2/22,,
GESU5441889,PRESIDENT WILSON,YIHUIDA,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",12/12/21,12/12/21,24/1/22,24/1/22,24/1/22,18/1/22,,
NWRU6003850,CMA CGM GEMINI,YIHUIDA,,"Shanghai, Shanghai Shi, China","Oakland, California, United States","Dallas, Texas, United States",11/12/21,11/12/21,10/1/22,26/1/22,28/1/22,26/1/22,Yes,2/2/22
CMAU7050522,CMA CGM T.JEFFERSON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/12/21,23/12/21,8/2/22,14/2/22,16/2/22,12/2/22,Yes,
MEDU2632257,HR RHEA,JAS,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",14/12/21,18/12/21,16/3/22,,2/4/22,16/2/22,,
BSIU9323249,CSCL YELLOW SEA,arrtime,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Long Beach, California, United States","Dallas, Texas, United States",26/10/21,28/10/21,24/12/21,30/12/21,3/1/22,28/12/21,,
CMAU6690335,CMA CGM ATTILA,Yuesheng,"Yantian, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",21/12/21,24/12/21,5/2/22,1/1/00,10/2/22,8/2/22,,
BEAU6092017,CMA CGM T.JEFFERSON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/12/21,23/12/21,8/2/22,16/2/22,17/2/22,16/2/22,,
RXTU4258768,GERNER MAERSK,Yihuida,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Fort Worth, Texas, United States",25/11/21,25/11/21,4/2/22,11/2/22,11/2/22,8/2/22,Yes,
CCLU7853413,OOCL UTAH,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",7/11/21,23/11/21,17/12/21,23/12/21,28/12/21,22/12/21,Yes,29/12/21
TEMU7612322,MSC ANYA,Yihuida,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Long Beach, California, United States","Long Beach, California, United States",11/10/21,19/10/21,18/11/21,17/12/21,21/12/21,14/1/22,Yes,17/1/22
TCLU1887027,CMA CGM MEXICO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",26/10/21,31/10/21,21/12/21,27/12/21,29/12/21,28/12/21,Yes,7/1/22
MSDU1399620,HR RHEA,JAS,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",14/12/21,18/12/21,16/3/22,,2/4/22,16/2/22,,
UACU5859700,ONE CRANE,NINGBO YUE SHENG INTERNATIONAL,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",25/10/21,26/10/21,25/12/21,28/12/21,29/12/21,28/12/21,,
TCKU6819769,COSCO SHIPPING DENALI,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Gainesville, Texas, United States",15/8/21,24/8/21,22/9/21,29/9/21,3/10/21,30/9/21,Yes,30/9/21
OOLU9763295,COSCO NETHERLANDS,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",3/8/21,10/8/21,8/9/21,12/9/21,15/9/21,14/9/21,Yes,20/9/21
ZCSU8242525,KMTC HONGKONG,YUE SHENG,,"Bangkok, Bangkok, Thailand","Busan, Busan, South Korea",,29/7/05,29/7/05,8/8/05,,,17/9/21,Yes,3/9/21
OOCU8316629,,cif,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",28/8/21,28/8/21,17/9/21,22/9/21,23/9/21,21/9/21,Yes,23/9/21
TCLU1813092,ONE MISSION,NINGBO YUE SHENG INTERNATIONAL,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Houston, Texas, United States","Houston, Texas, United States",8/7/21,16/7/21,10/9/21,1/1/00,27/9/21,11/9/21,Yes,17/9/21
NWRU6004522,APL VANCOUVER,Yihuida,"Shanghai Hongqiao International, Shanghai Shi, China","Shanghai Hongqiao International, Shanghai Shi, China","Oakland, California, United States","Dallas, Texas, United States",21/12/21,23/12/21,19/2/22,25/2/22,1/3/22,16/2/22,,
ONEU0237133,EVER SUPERB,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",21/12/21,29/12/21,7/2/22,1/1/00,12/2/22,8/2/22,,
BEAU6180761,COSCO SHIPPING DENALI,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",12/12/21,17/12/21,4/1/22,14/1/22,14/1/22,11/1/22,Yes,18/1/22
CMAU4078470,APL VANCOUVER,YIHUIDA,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",10/12/21,12/12/21,19/2/22,25/2/22,1/3/22,16/2/22,,
OOLU8748228,COSCO ENGLAND,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",4/12/21,12/12/21,15/1/22,23/1/22,25/1/22,22/1/22,Yes,27/1/22
SEGU6354891,CMA CGM LEO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",28/12/21,30/12/21,8/2/22,20/2/22,24/2/22,18/2/22,,
TCKU7379833,COSCO SHIPPING ANDES,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",15/11/21,23/11/21,11/12/21,21/12/21,23/12/21,22/12/21,Yes,12/1/22
MOTU6734665,EVER SUPERB,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",20/12/21,29/12/21,8/2/22,1/1/00,12/2/22,8/2/22,Yes,17/2/22
NYKU4738619,EVER SUPERB,Yuesheng,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",21/12/21,29/12/21,7/2/22,1/1/00,12/2/22,8/2/22,Yes,16/2/22
TCNU4191066,ONE MISSION,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Houston, Texas, United States","Houston, Texas, United States",16/12/21,22/12/21,3/2/22,1/1/00,7/2/22,4/2/22,Yes,7/2/22
TGHU8850184,CMA CGM MEXICO,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",25/10/21,29/10/21,21/12/21,28/12/21,30/12/21,28/12/21,Yes,7/1/22
TEMU7192791,CMA CGM T.JEFFERSON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/12/21,24/12/21,8/2/22,18/2/22,18/2/22,16/2/22,,
TGBU4801533,OOCL TAIPEI,CIF,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",10/8/21,22/8/21,12/9/21,17/9/21,17/9/21,17/9/21,,17/9/21
TCNU3213263,CMA CGM T.JEFFERSON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",17/12/21,23/12/21,8/2/22,18/2/22,19/2/22,16/2/22,,
OOLU8406288,COSCO ENGLAND,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",4/12/21,12/12/21,17/1/22,23/1/22,26/1/22,24/1/22,Yes,31/1/22
APHU6282525,OOCL LONDON,YUE SHENG,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",10/1/22,10/1/22,7/2/22,22/2/22,26/2/22,18/2/22,,
FFAU1977721,MSC TRIESTE,JAS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",12/1/22,20/1/22,11/4/22,,28/4/22,18/2/22,,
CMAU5792081,COSCO EUROPE,Arttime,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",25/12/21,29/12/21,7/2/22,20/2/22,24/2/22,18/2/22,,
CICU2586140,HMM PROMISE,yihuida,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",11/1/22,15/1/22,,5/3/22,9/3/22,18/2/22,,
TEMU8376290,EVER FAST,Evergreen,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",8/1/22,8/1/22,,14/2/22,15/2/22,14/2/22,Yes,18/2/22
TEMU7150570,EVER FAST,Evergreen,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",8/1/22,8/1/22,,18/2/22,19/2/22,18/2/22,,
SLSU8069494,EVER SUPERB,yuesheng,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Dallas, Texas, United States",16/12/21,18/12/21,8/2/22,1/1/00,16/2/22,11/2/22,,
TGBU4518143,COSCO AUCKLAND,AXIOM,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",2/1/22,2/1/22,,4/2/22,8/2/22,16/2/22,Yes,16/2/22
NWRU6004570,APL VANCOUVER,Yihuida,"Shanghai Hongqiao International, Shanghai Shi, China","Shanghai Hongqiao International, Shanghai Shi, China","Oakland, California, United States","Dallas, Texas, United States",18/12/21,23/12/21,19/2/22,25/2/22,1/3/22,18/2/22,,
TRHU6410758,ONE FALCON,JAS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",27/12/21,2/1/22,17/2/22,27/2/22,3/3/22,18/2/22,,
FFAU3617998,OOCL TAIPEI,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",12/12/21,25/12/21,20/1/22,29/1/22,29/1/22,28/1/22,Yes,1/2/22
TGHU9312753,COSCO ITALY,YIHUIDA,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",13/12/21,16/12/21,7/1/22,15/1/22,14/1/22,11/1/22,,
TGBU4631078,SEASPAN ADONIS,JAS,"Thuan An, Tinh Quang Nam, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",21/12/21,2/1/22,2/2/22,9/2/22,10/2/22,9/2/22,Yes,14/2/22
CMAU6465503,APL COLUMBUS,yihuida,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",1/12/21,3/12/21,,22/2/22,26/2/22,19/2/22,,
FFAU2372503,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",19/12/21,1/1/22,21/1/22,29/1/22,29/1/22,28/1/22,Yes,7/2/22
EMCU8730492,CMA CGM ATTILA,YUESHENG,"Shekou, Guangdong Sheng, China","Shekou, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",30/12/21,30/12/21,,11/2/22,15/2/22,14/2/22,,
CSNU8029058,COSCO SPAIN,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",22/11/21,27/11/21,27/12/21,2/1/22,4/1/22,3/1/22,Yes,10/1/22
BMOU5850061,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",19/12/21,1/1/22,21/1/22,29/1/22,29/1/22,29/1/22,Yes,2/2/22
MSMU5280298,AMERICA,LFL,"Sonipat, State of Haryana, India","Mundra, State of Gujarat, India","Houston, Texas, United States","Houston, Texas, United States",9/12/21,19/12/21,20/2/22,,9/3/22,19/2/22,,
CBHU9584550,OOCL LONDON,AXIOM,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",14/11/21,29/11/21,27/12/21,2/1/22,5/1/22,3/1/22,Yes,11/1/22
OOLU9450726,OOCL TOKYO,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",20/12/21,1/1/22,24/1/22,30/1/22,28/1/22,25/1/22,Yes,2/2/22
CICU2479136,PRESIDENT WILSON,YIHUIDA,,"Shanghai, Shanghai Shi, China","Los Angeles, California, United States","Dallas, Texas, United States",12/12/21,12/12/21,7/1/22,13/1/22,14/1/22,12/1/22,Yes,18/1/22
TLLU5342656,COSCO SPAIN,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",15/11/21,19/11/21,29/12/21,3/1/22,7/1/22,3/1/22,Yes,11/1/22
CMAU7576029,CMA CGM CALLISTO,ARRTIME,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",21/12/21,22/12/21,8/2/22,14/2/22,15/2/22,15/2/22,,
TEMU6176224,XIN WEI HAI,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Houston, Texas, United States","Houston, Texas, United States",30/12/21,30/12/21,,2/2/22,7/2/22,3/2/22,Yes,8/2/22
TGBU8725940,VANCOUVER,Axiom,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Cai Mep, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",14/12/21,17/12/21,17/1/22,23/1/22,21/1/22,19/1/22,Yes,24/1/22
CSNU6123785,CSCL YELLOW SEA,Yuesheng,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Dallas, Texas, United States",14/1/22,20/1/22,17/2/22,7/3/22,11/3/22,19/2/22,,
CMAU4098986,APL SENTOSA,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Los Angeles, California, United States","Dallas, Texas, United States",12/1/22,17/1/22,4/3/22,,21/3/22,18/2/22,,
FCIU9250510,EVER FRONT,yihuida,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",24/12/21,24/12/21,1/2/22,1/2/22,2/2/22,29/1/22,Yes,7/2/22
ACCU5017288,CMA CGM ANDROMEDA,yihuida,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",30/11/21,25/12/21,13/2/22,22/2/22,26/2/22,19/2/22,,
CMAU5287705,APL COLUMBUS,yihuida,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Dallas, Texas, United States",29/11/21,4/12/21,20/2/22,28/2/22,4/3/22,19/2/22,,
TCKU6325025,CMA CGM J.MADISON,LF,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",9/11/21,13/11/21,6/1/22,14/1/22,14/1/22,14/1/22,Yes,18/1/22
BMOU6405733,APL COLUMBUS,yihuida,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Oakland, California, United States","Dallas, Texas, United States",2/12/21,3/12/21,,22/2/22,26/2/22,16/2/22,,
CMAU6130773,CMA CGM LEO,JAS,"Ho Chi Minh City, Ho Chi Minh City, Vietnam","Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",23/12/21,31/12/21,8/2/22,15/2/22,17/2/22,14/2/22,Yes,
SKYU8076290,CMA CGM MEXICO,Yihuida,,"Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",7/11/21,7/11/21,26/12/21,4/1/22,5/1/22,5/1/22,Yes,11/1/22
